strain	cluster	location	date	variant
USA/WA-UW-21042085549/2021	200	North_King_County	2021-04-20	delta
USA/WA-CDC-UW21100258018/2021	200	North_King_County	2021-10-02	delta
USA/WA-CDC-UW21100258283/2021	200	North_King_County	2021-10-02	delta
USA/WA-UW-21080295967/2021	201	North_King_County	2021-08-02	delta
USA/WA-UW-21042019332/2021	202	North_King_County	2021-04-20	delta
USA/WA-CDC-UW21070943989/2021	202	North_King_County	2021-07-09	delta
USA/WA-CDC-UW21101546985/2021	203	North_King_County	2021-10-15	delta
USA/WA-UW-21072951135/2021	204	South_King_County	2021-07-29	delta
USA/WA-S11435/2021	205	South_King_County	2021-08-20	delta
USA/WA-S11978/2021	205	South_King_County	2021-08-20	delta
USA/WA-S11981/2021	205	South_King_County	2021-08-20	delta
USA/WA-CDC-UW21080923310/2021	206	South_King_County	2021-08-09	delta
USA/WA-CDC-UW21081361688/2021	207	North_King_County	2021-08-13	delta
USA/WA-CDC-UW21090765133/2021	207	South_King_County	2021-09-07	delta
USA/WA-CDC-UW21090245727/2021	207	North_King_County	2021-09-02	delta
USA/WA-UW-21121348923/2021	208	South_King_County	2021-12-13	delta
USA/WA-CDC-UW21121616768/2021	208	South_King_County	2021-12-16	delta
USA/WA-CDC-QDX25930960/2021	209	South_King_County	2021-06-15	delta
USA/WA-UW-21120465513/2021	210	North_King_County	2021-12-04	delta
USA/WA-S10626/2021	211	North_King_County	2021-07-15	delta
USA/WA-UW-21062977862/2021	212	North_King_County	2021-06-29	delta
USA/WA-CDC-LC0091541/2021	212	North_King_County	2021-06-28	delta
USA/WA-UW-21072607844/2021	213	North_King_County	2021-07-26	delta
USA/WA-CDC-LC0271811/2021	214	North_King_County	2021-08-29	delta
USA/WA-PHL-001114/2021	215	South_King_County	2021-06-27	delta
USA/WA-S12340/2021	216	North_King_County	2021-08-01	delta
USA/WA-UW-21071337853/2021	216	South_King_County	2021-07-13	delta
USA/WA-CDC-UW21071930088/2021	216	North_King_County	2021-07-19	delta
USA/WA-CDC-UW21072934357/2021	216	North_King_County	2021-07-29	delta
USA/WA-UW-21072604463/2021	216	North_King_County	2021-07-26	delta
USA/WA-UW-21071952200/2021	216	South_King_County	2021-07-19	delta
USA/WA-CDC-UW21071661671/2021	216	South_King_County	2021-07-16	delta
USA/WA-CDC-LC0248187/2021	217	South_King_County	2021-08-18	delta
USA/WA-CDC-UW21081488572/2021	218	North_King_County	2021-08-14	delta
USA/WA-UW-21061604282/2021	219	North_King_County	2021-06-16	delta
USA/WA-UW-21100515021/2021	220	South_King_County	2021-10-05	delta
USA/WA-S15489/2021	221	North_King_County	2021-11-02	delta
USA/WA-CDC-UW21111028181/2021	221	North_King_County	2021-11-10	delta
USA/WA-CDC-UW21062343396/2021	222	North_King_County	2021-06-23	delta
USA/WA-CDC-UW21082645820/2021	223	South_King_County	2021-08-26	delta
USA/WA-CDC-UW21091739875/2021	224	North_King_County	2021-09-17	delta
USA/WA-S10361/2021	225	South_King_County	2021-07-23	delta
USA/WA-CDC-UW21092506272/2021	226	North_King_County	2021-09-25	delta
USA/WA-S11922/2021	227	North_King_County	2021-08-18	delta
USA/WA-S16970/2022	227	North_King_County	2022-01-07	delta
USA/WA-CDC-UW21090348169/2021	228	North_King_County	2021-09-03	delta
USA/WA-CDC-LC0323961/2021	229	North_King_County	2021-10-04	delta
USA/WA-PHL-001265/2021	230	South_King_County	2021-07-13	delta
USA/WA-CDC-UW21081683015/2021	231	North_King_County	2021-08-16	delta
USA/WA-CDC-UW21072989893/2021	232	North_King_County	2021-07-29	delta
USA/WA-UW-21050510632/2021	233	North_King_County	2021-05-05	delta
USA/WA-CDC-UW21102050772/2021	234	North_King_County	2021-10-20	delta
USA/WA-UW-21110429076/2021	235	North_King_County	2021-11-04	delta
USA/WA-CDC-UW21120165687/2021	236	North_King_County	2021-12-01	delta
USA/WA-S18261/2021	236	South_King_County	2021-11-08	delta
USA/WA-UW-21110249517/2021	237	North_King_County	2021-11-02	delta
USA/WA-UW-21110499691/2021	238	North_King_County	2021-11-04	delta
USA/WA-UW-21110383544/2021	238	South_King_County	2021-11-03	delta
USA/WA-UW-21110452180/2021	238	North_King_County	2021-11-04	delta
USA/WA-CDC-UW21110846298/2021	239	North_King_County	2021-11-08	delta
USA/WA-CDC-QDX26446415/2021	240	North_King_County	2021-07-02	delta
USA/WA-CDC-UW21082711733/2021	241	South_King_County	2021-08-27	delta
USA/WA-S15792/2021	242	North_King_County	2021-12-19	delta
USA/WA-CDC-LC0471397/2022	243	South_King_County	2022-01-04	delta
