,ZIP,sum_essential,total
4428,15112,838.0,1583.0
4429,15116,3838.0,7542.0
4430,15120,5075.0,8752.0
4431,15122,5906.0,9353.0
4432,15126,2131.0,4142.0
4433,15129,3298.0,5698.0
4434,15131,2227.0,3581.0
4435,15132,5533.0,8247.0
4436,15133,2299.0,3262.0
4437,15135,1708.0,2785.0
4438,15136,5858.0,10078.0
4439,15137,2805.0,4420.0
4440,15139,1541.0,3524.0
4441,15140,1064.0,1344.0
4442,15142,133.0,488.0
4443,15143,4035.0,10443.0
4444,15144,1318.0,2113.0
4445,15145,2030.0,3058.0
4446,15146,6637.0,14079.0
4447,15147,4359.0,7931.0
4448,15148,693.0,987.0
4449,15201,3088.0,8881.0
4450,15202,6095.0,11942.0
4451,15203,2839.0,7276.0
4452,15204,2218.0,3486.0
4453,15205,6507.0,11854.0
4454,15206,6111.0,16105.0
4455,15207,2548.0,4547.0
4456,15208,1472.0,3939.0
4457,15209,3961.0,6735.0
4458,15210,8005.0,12746.0
4459,15211,3030.0,6859.0
4460,15212,7254.0,14487.0
4461,15213,5837.0,11764.0
4462,15214,3465.0,6572.0
4463,15215,2839.0,6245.0
4464,15216,6952.0,13296.0
4465,15217,4258.0,14877.0
4466,15218,3610.0,8084.0
4467,15219,3116.0,5669.0
4468,15220,4255.0,9902.0
4469,15221,6795.0,14688.0
4470,15222,1453.0,3701.0
4471,15223,2053.0,3600.0
4472,15224,2738.0,7122.0
4473,15225,366.0,519.0
4474,15226,3448.0,6982.0
4475,15227,8258.0,14255.0
4476,15228,3171.0,9340.0
4477,15229,4113.0,7810.0
4478,15232,1634.0,7840.0
4479,15233,679.0,1463.0
4480,15234,4314.0,7669.0
4481,15235,8877.0,17150.0
4482,15236,7523.0,14769.0
4483,15237,8346.0,21416.0
4484,15238,1722.0,5932.0
4485,15239,5819.0,10949.0
4486,15241,3502.0,10049.0
4487,15243,1947.0,5739.0
4488,15260,0.0,0.0
4489,15290,0.0,0.0
4490,15301,14729.0,24310.0
4491,15310,40.0,54.0
4492,15311,478.0,732.0
4493,15312,1172.0,1750.0
4494,15313,116.0,169.0
4495,15314,994.0,1552.0
4496,15315,146.0,201.0
4497,15316,40.0,52.0
4498,15317,10164.0,20431.0
4499,15320,1119.0,1879.0
4500,15321,465.0,831.0
4501,15322,468.0,694.0
4502,15323,1517.0,2122.0
4503,15324,203.0,285.0
4504,15325,86.0,123.0
4505,15327,321.0,592.0
4506,15329,535.0,747.0
4507,15330,1510.0,2390.0
4508,15331,213.0,308.0
4509,15332,2746.0,4431.0
4510,15333,607.0,876.0
4511,15334,79.0,103.0
4512,15337,116.0,176.0
4513,15338,449.0,646.0
4514,15340,303.0,454.0
4515,15341,225.0,305.0
4516,15342,1163.0,2287.0
4517,15344,329.0,679.0
4518,15345,356.0,553.0
4519,15346,129.0,217.0
4520,15347,145.0,195.0
4521,15348,36.0,50.0
4522,15349,417.0,665.0
4523,15350,226.0,277.0
4524,15351,327.0,408.0
4525,15352,281.0,417.0
4526,15353,45.0,69.0
4527,15357,521.0,682.0
4528,15358,483.0,635.0
4529,15359,106.0,123.0
4530,15360,485.0,866.0
4531,15361,88.0,110.0
4532,15362,221.0,316.0
4533,15363,107.0,217.0
4534,15364,261.0,348.0
4535,15366,40.0,51.0
4536,15367,1866.0,4767.0
4537,15368,96.0,142.0
4538,15370,3176.0,5014.0
4539,15376,454.0,688.0
4540,15377,169.0,305.0
4541,15378,22.0,22.0
4542,15379,26.0,36.0
4543,15380,201.0,241.0
4544,15401,7554.0,13005.0
4545,15410,311.0,595.0
4546,15411,181.0,273.0
4547,15412,127.0,175.0
4548,15413,114.0,160.0
4549,15417,2303.0,3384.0
4550,15419,1405.0,2049.0
4551,15420,49.0,64.0
4552,15421,0.0,0.0
4553,15422,36.0,57.0
4554,15423,661.0,982.0
4555,15424,502.0,809.0
4556,15425,5100.0,8211.0
4557,15427,230.0,411.0
4558,15428,477.0,845.0
4559,15429,50.0,87.0
4560,15430,101.0,189.0
4561,15431,1114.0,1753.0
4562,15432,167.0,209.0
4563,15433,142.0,178.0
4564,15434,67.0,91.0
4565,15435,149.0,187.0
4566,15436,759.0,1209.0
4567,15437,1044.0,1291.0
4568,15438,597.0,975.0
4569,15440,70.0,76.0
4570,15442,480.0,656.0
4571,15443,0.0,8.0
4572,15444,145.0,285.0
4573,15445,617.0,1025.0
4574,15446,78.0,93.0
4575,15447,19.0,63.0
4576,15448,124.0,124.0
4577,15449,49.0,60.0
4578,15450,39.0,84.0
4579,15451,283.0,405.0
4580,15454,19.0,19.0
4581,15455,130.0,177.0
4582,15456,777.0,1064.0
4583,15458,651.0,1114.0
4584,15459,434.0,656.0
4585,15460,48.0,48.0
4586,15461,790.0,1376.0
4587,15462,102.0,118.0
4588,15463,45.0,45.0
4589,15464,505.0,783.0
4590,15466,98.0,169.0
4591,15467,43.0,51.0
4592,15468,781.0,1113.0
4593,15469,525.0,821.0
4594,15470,250.0,325.0
4595,15472,75.0,86.0
4596,15473,998.0,1642.0
4597,15474,564.0,918.0
4598,15475,443.0,538.0
4599,15476,5.0,20.0
4600,15477,231.0,380.0
4601,15478,1745.0,2743.0
4602,15479,658.0,1073.0
4603,15480,372.0,699.0
4604,15482,100.0,129.0
4605,15483,103.0,196.0
4606,15484,295.0,460.0
4607,15486,676.0,966.0
4608,15489,75.0,97.0
4609,15490,116.0,146.0
4610,15492,57.0,57.0
4611,15501,4103.0,6720.0
4612,15502,0.0,43.0
4613,15510,16.0,16.0
4614,15520,160.0,214.0
4615,15521,553.0,796.0
